,ticker,first_close,last_close,first_date,last_date,total_days,volume_threshold(%),pct_threshold(%),holding_days,buy-waiting_days,strategy_max_drawdown(%),strategy_cagr%,strategy_calmar,final_account_value,total_trades,winners,win_rate(%),top_5_gainers(%),averge_max_return(%),averge_max_drawdown(%),top_5_losers(%),average_gain(%),average_loss(%),buy_hold_return(%),buy_hold_cagr%,buy_hold_max_drawdown(%),buy_hold_calmar
0,TSLA,248.42,417.41,2024-01-02,2024-12-30,363,20,0.1,5,0,-14.06,93.89,6.68,193.18,11,7,63.64,"[26.68, 25.47, 14.46, 4.22, 3.62]",10.72,-2.69,"[-4.08, -1.31, -0.45, -0.16]",11.27,-1.5,68.03,68.51,-40.92,1.67
1,TSLA,248.42,417.41,2024-01-02,2024-12-30,363,20,0.1,5,1,-11.09,74.4,6.71,173.87,10,8,80.0,"[27.4, 11.02, 9.32, 9.28, 4.81]",10.87,-1.81,"[-7.51, -2.2]",8.77,-4.86,68.03,68.51,-40.92,1.67
2,TSLA,248.42,417.41,2024-01-02,2024-12-30,363,20,0.1,5,5,-16.69,29.62,1.77,129.43,8,5,62.5,"[18.84, 9.93, 8.73, 6.14, 3.18]",6.7,-3.79,"[-14.13, -2.98, -0.12]",9.36,-5.74,68.03,68.51,-40.92,1.67
3,TSLA,248.42,417.41,2024-01-02,2024-12-30,363,20,0.1,5,10,-18.28,36.6,2.0,136.37,7,5,71.43,"[27.4, 13.51, 4.81, 4.22, 1.78]",9.64,-4.26,"[-8.09, -7.72]",10.34,-7.9,68.03,68.51,-40.92,1.67
4,TSLA,248.42,417.41,2024-01-02,2024-12-30,363,20,1.0,5,0,-14.06,93.89,6.68,193.18,11,7,63.64,"[26.68, 25.47, 14.46, 4.22, 3.62]",10.72,-2.69,"[-4.08, -1.31, -0.45, -0.16]",11.27,-1.5,68.03,68.51,-40.92,1.67
5,TSLA,248.42,417.41,2024-01-02,2024-12-30,363,20,1.0,5,1,-11.09,68.29,6.16,167.81,10,8,80.0,"[27.4, 11.02, 9.32, 9.28, 4.81]",10.83,-1.84,"[-7.51, -5.61]",8.77,-6.56,68.03,68.51,-40.92,1.67
6,TSLA,248.42,417.41,2024-01-02,2024-12-30,363,20,1.0,5,5,-16.77,26.9,1.6,126.74,8,5,62.5,"[18.84, 9.93, 8.73, 6.14, 3.18]",6.23,-4.21,"[-14.13, -2.98, -2.2]",9.36,-6.44,68.03,68.51,-40.92,1.67
7,TSLA,248.42,417.41,2024-01-02,2024-12-30,363,20,1.0,5,10,-18.28,33.74,1.85,133.52,7,5,71.43,"[27.4, 13.51, 4.81, 4.22, 1.78]",9.64,-4.0,"[-9.64, -8.09]",10.34,-8.86,68.03,68.51,-40.92,1.67
8,TSLA,248.42,417.41,2024-01-02,2024-12-30,363,20,2.0,5,0,-13.67,67.13,4.91,166.66,9,6,66.67,"[25.47, 14.46, 11.02, 4.22, 3.62]",10.95,-2.29,"[-4.08, -1.31, -0.16]",10.2,-1.85,68.03,68.51,-40.92,1.67
9,TSLA,248.42,417.41,2024-01-02,2024-12-30,363,20,2.0,5,1,-11.09,54.51,4.91,154.14,9,7,77.78,"[27.4, 9.32, 9.28, 5.78, 4.81]",10.6,-2.17,"[-7.51, -5.61]",8.74,-6.56,68.03,68.51,-40.92,1.67
10,TSLA,248.42,417.41,2024-01-02,2024-12-30,363,20,2.0,5,5,-8.44,47.99,5.68,147.68,7,5,71.43,"[18.84, 9.93, 8.73, 6.14, 3.18]",7.38,-2.79,"[-2.93, -2.2]",9.36,-2.57,68.03,68.51,-40.92,1.67
11,TSLA,248.42,417.41,2024-01-02,2024-12-30,363,20,2.0,5,10,-18.28,15.18,0.83,115.09,6,3,50.0,"[27.4, 4.81, 4.22]",8.71,-4.39,"[-9.64, -8.09, -0.42]",12.14,-6.05,68.03,68.51,-40.92,1.67
12,TSLA,248.42,417.41,2024-01-02,2024-12-30,363,20,4.0,5,0,-10.15,65.26,6.43,164.81,8,5,62.5,"[25.47, 14.46, 11.02, 4.22, 3.62]",11.02,-2.44,"[-4.08, -0.16, -0.05]",11.76,-1.43,68.03,68.51,-40.92,1.67
13,TSLA,248.42,417.41,2024-01-02,2024-12-30,363,20,4.0,5,1,-11.09,54.91,4.95,154.54,8,7,87.5,"[13.84, 9.32, 9.28, 6.23, 5.78]",10.67,-1.3,[-7.51],7.65,-7.51,68.03,68.51,-40.92,1.67
