Date,Open,High,Low,Close,Volume,ticker,change%,avg_20_days_volume,volume%,buyhold_account_value,row_key,account_value,account_cum_max,drawdown,volume_threshold%,pct_threshold%,holding_days,sell_condition,sell_signal,sell_waiting_days,waiting_days_count,actual_sell,holding_days_count,block_identifier,buy_signal,pct_change,max_drawdown,strategy_max_drawdown(%),strategy_cagr%,strategy_calmar
2018-01-02,20.8,21.47,20.73,21.37,65.28,TSLA,,,,,1,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-03,21.4,21.68,21.04,21.15,67.82,TSLA,-1.02,,,98.98,2,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-04,20.86,21.24,20.38,20.97,149.19,TSLA,-0.83,,,98.16,3,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-05,21.11,21.15,20.8,21.11,68.87,TSLA,0.62,,,98.77,4,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-08,21.07,22.47,21.03,22.43,147.89,TSLA,6.26,,,104.95,5,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-09,22.34,22.59,21.83,22.25,107.2,TSLA,-0.81,,,104.11,6,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-10,22.15,22.47,22.0,22.32,64.65,TSLA,0.33,,,104.45,7,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-11,22.35,22.99,22.22,22.53,99.68,TSLA,0.94,,,105.43,8,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-12,22.58,22.69,22.24,22.41,72.38,TSLA,-0.51,,,104.9,9,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-16,22.5,23.0,22.32,22.67,97.11,TSLA,1.14,,,106.09,10,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-17,22.7,23.27,22.65,23.14,106.55,TSLA,2.09,,,108.31,11,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-18,23.04,23.49,22.92,22.97,85.29,TSLA,-0.75,,,107.5,12,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-19,23.0,23.37,22.84,23.33,73.32,TSLA,1.58,,,109.2,13,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-22,23.29,23.86,23.28,23.44,93.16,TSLA,0.44,,,109.68,14,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-23,24.0,24.03,23.4,23.52,81.98,TSLA,0.35,,,110.06,15,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-24,23.64,23.65,22.9,23.06,79.31,TSLA,-1.96,,,107.91,16,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-25,23.22,23.28,22.43,22.51,101.1,TSLA,-2.39,,,105.34,17,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-26,22.77,22.93,22.38,22.86,68.09,TSLA,1.54,,,106.96,18,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-29,22.66,23.39,22.55,23.3,71.21,TSLA,1.95,,,109.05,19,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-30,23.01,23.22,22.81,23.05,70.77,TSLA,-1.06,88.54,-20.08,107.89,20,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-01-31,23.17,23.75,23.01,23.62,93.21,TSLA,2.46,89.94,3.64,110.54,21,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-02-01,23.4,23.98,23.24,23.28,62.97,TSLA,-1.43,89.7,-29.8,108.96,22,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-02-02,23.23,23.46,22.7,22.92,55.57,TSLA,-1.57,85.02,-34.63,107.24,23,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-02-05,22.53,22.96,22.2,22.21,66.96,TSLA,-3.09,84.92,-21.15,103.93,24,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-02-06,21.68,22.41,21.57,22.26,76.33,TSLA,0.25,81.34,-6.17,104.19,25,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-02-07,22.6,23.07,22.38,23.0,104.54,TSLA,3.3,81.21,28.73,107.63,26,100.0,100.0,0.0,20,-2,15,False,False,0,0,False,0,,False,0.0,0.0,-86.36,-18.75,-0.22
2018-02-08,22.89,23.24,20.97,21.02,154.72,TSLA,-8.63,85.71,80.51,98.35,27,100.0,100.0,0.0,20,-2,15,True,True,0,0,True,0,1,False,0.0,0.0,-86.36,-18.75,-0.22
2018-02-09,21.33,21.4,19.65,20.69,194.01,TSLA,-1.53,90.43,114.54,96.85,28,101.53,101.53,0.0,20,-2,15,False,False,0,0,False,1,1,False,-1.53,0.0,-86.36,-18.75,-0.22
2018-02-12,21.08,21.21,20.42,21.05,93.42,TSLA,1.71,91.48,2.12,98.5,29,99.79,101.53,-1.71,20,-2,15,False,False,0,0,False,2,1,False,1.71,-1.71,-86.36,-18.75,-0.22
2018-02-13,21.0,21.61,20.83,21.58,68.4,TSLA,2.51,90.04,-24.03,100.98,30,97.28,101.53,-4.18,20,-2,15,False,False,0,0,False,3,1,False,2.51,-4.18,-86.36,-18.75,-0.22
2018-02-14,21.39,21.74,21.23,21.49,59.26,TSLA,-0.42,87.68,-32.41,100.56,31,97.69,101.53,-3.78,20,-2,15,False,False,0,0,False,4,1,False,-0.42,-4.18,-86.36,-18.75,-0.22
2018-02-15,21.63,22.27,21.49,22.27,88.69,TSLA,3.65,87.85,0.96,104.22,32,94.12,101.53,-7.29,20,-2,15,False,False,0,0,False,5,1,False,3.65,-7.29,-86.36,-18.75,-0.22
2018-02-16,22.17,22.87,22.11,22.37,84.64,TSLA,0.43,88.42,-4.27,104.67,33,93.72,101.53,-7.68,20,-2,15,False,False,0,0,False,6,1,False,0.43,-7.68,-86.36,-18.75,-0.22
2018-02-20,22.3,22.72,22.1,22.32,60.14,TSLA,-0.21,86.77,-30.69,104.44,34,93.93,101.53,-7.49,20,-2,15,False,False,0,0,False,7,1,False,-0.21,-7.68,-86.36,-18.75,-0.22
2018-02-21,22.4,22.65,22.21,22.22,48.29,TSLA,-0.44,85.08,-43.24,103.98,35,94.34,101.53,-7.08,20,-2,15,False,False,0,0,False,8,1,False,-0.44,-7.68,-86.36,-18.75,-0.22
2018-02-22,22.37,23.16,22.32,23.08,104.55,TSLA,3.86,86.34,21.08,108.0,36,90.7,101.53,-10.67,20,-2,15,False,False,0,0,False,9,1,False,3.86,-10.67,-86.36,-18.75,-0.22
2018-02-23,23.19,23.67,23.14,23.47,87.26,TSLA,1.7,85.65,1.88,109.83,37,89.15,101.53,-12.19,20,-2,15,False,False,0,0,False,10,1,False,1.7,-12.19,-86.36,-18.75,-0.22
2018-02-26,23.57,23.93,23.49,23.83,65.1,TSLA,1.53,85.5,-23.86,111.51,38,87.79,101.53,-13.52,20,-2,15,False,False,0,0,False,11,1,False,1.53,-13.52,-86.36,-18.75,-0.22
2018-02-27,23.75,24.0,23.33,23.4,71.96,TSLA,-1.8,85.54,-15.87,109.5,39,89.37,101.53,-11.97,20,-2,15,False,False,0,0,False,12,1,False,-1.8,-13.52,-86.36,-18.75,-0.22
2018-02-28,23.5,23.68,22.81,22.87,91.05,TSLA,-2.26,86.55,5.19,107.03,40,91.39,101.53,-9.98,20,-2,15,False,False,0,0,False,13,1,False,-2.26,-13.52,-86.36,-18.75,-0.22
2018-03-01,23.0,23.24,22.0,22.06,103.28,TSLA,-3.54,87.06,18.64,103.24,41,94.62,101.53,-6.8,20,-2,15,False,False,0,0,False,14,1,False,-3.54,-13.52,-86.36,-18.75,-0.22
2018-03-02,21.8,22.35,21.53,22.34,76.39,TSLA,1.27,87.73,-12.92,104.55,42,93.43,101.53,-7.98,20,-2,15,False,False,0,0,False,15,1,True,1.27,-13.52,-86.36,-18.75,-0.22
2018-03-05,22.16,22.52,21.95,22.22,57.36,TSLA,-0.53,87.82,-34.69,104.0,43,93.43,101.53,-7.98,20,-2,15,False,False,0,0,False,0,,False,0.0,-13.52,-86.36,-18.75,-0.22
2018-03-06,22.25,22.42,21.8,21.88,64.29,TSLA,-1.54,87.68,-26.68,102.39,44,93.43,101.53,-7.98,20,-2,15,False,False,0,0,False,0,,False,0.0,-13.52,-86.36,-18.75,-0.22
2018-03-07,21.7,22.17,21.45,22.15,75.11,TSLA,1.25,87.62,-14.28,103.67,45,93.43,101.53,-7.98,20,-2,15,False,False,0,0,False,0,,False,0.0,-13.52,-86.36,-18.75,-0.22
2018-03-08,22.19,22.22,21.75,21.94,53.49,TSLA,-0.96,85.07,-37.12,102.67,46,93.43,101.53,-7.98,20,-2,15,False,False,0,0,False,0,,False,0.0,-13.52,-86.36,-18.75,-0.22
2018-03-09,21.61,21.9,21.49,21.81,82.6,TSLA,-0.59,81.46,1.4,102.07,47,93.43,101.53,-7.98,20,-2,15,False,False,0,0,False,0,,False,0.0,-13.52,-86.36,-18.75,-0.22
2018-03-12,21.91,23.15,21.77,23.03,123.96,TSLA,5.61,77.96,59.0,107.79,48,93.43,101.53,-7.98,20,-2,15,False,False,0,0,False,0,,False,0.0,-13.52,-86.36,-18.75,-0.22
2018-03-13,21.91,23.15,21.77,22.79,89.49,TSLA,-1.06,77.77,15.07,106.65,49,93.43,101.53,-7.98,20,-2,15,False,False,0,0,False,0,,False,0.0,-13.52,-86.36,-18.75,-0.22
2018-03-14,22.45,22.65,21.6,21.78,119.51,TSLA,-4.45,80.32,48.79,101.9,50,93.43,101.53,-7.98,20,-2,15,True,True,0,0,True,0,2,False,0.0,-13.52,-86.36,-18.75,-0.22
2018-03-15,21.96,22.19,21.41,21.71,98.47,TSLA,-0.32,82.28,19.68,101.58,51,93.72,101.53,-7.69,20,-2,15,False,False,0,0,False,1,2,False,-0.32,-13.52,-86.36,-18.75,-0.22
2018-03-16,21.53,21.83,21.27,21.42,91.76,TSLA,-1.31,82.44,11.31,100.26,52,94.94,101.53,-6.48,20,-2,15,False,False,0,0,False,2,2,False,-1.31,-13.52,-86.36,-18.75,-0.22
2018-03-19,21.1,21.38,20.64,20.9,112.26,TSLA,-2.42,83.82,33.94,97.83,53,97.25,101.53,-4.22,20,-2,15,True,False,0,0,False,3,2,False,-2.42,-13.52,-86.36,-18.75,-0.22
2018-03-20,20.99,21.08,20.58,20.7,71.46,TSLA,-0.96,84.38,-15.31,96.89,54,98.18,101.53,-3.3,20,-2,15,False,False,0,0,False,4,2,False,-0.96,-13.52,-86.36,-18.75,-0.22
2018-03-21,20.68,21.5,20.68,21.1,89.38,TSLA,1.93,86.44,3.4,98.75,55,96.29,101.53,-5.16,20,-2,15,False,False,0,0,False,5,2,False,1.93,-13.52,-86.36,-18.75,-0.22
2018-03-22,20.93,21.25,20.55,20.61,74.1,TSLA,-2.35,84.91,-12.74,96.43,56,98.55,101.53,-2.93,20,-2,15,False,False,0,0,False,6,2,False,-2.35,-13.52,-86.36,-18.75,-0.22
2018-03-23,20.75,20.75,20.03,20.1,99.82,TSLA,-2.45,85.54,16.7,94.08,57,100.96,101.53,-0.56,20,-2,15,False,False,0,0,False,7,2,False,-2.45,-13.52,-86.36,-18.75,-0.22
2018-03-26,20.49,20.51,19.42,20.28,125.63,TSLA,0.88,88.57,41.84,94.9,58,100.08,101.53,-1.43,20,-2,15,False,False,0,0,False,8,2,False,0.88,-13.52,-86.36,-18.75,-0.22
2018-03-27,20.27,20.28,18.48,18.61,208.08,TSLA,-8.22,95.37,118.17,87.1,59,108.3,108.3,0.0,20,-2,15,True,False,0,0,False,9,2,False,-8.22,-13.52,-86.36,-18.75,-0.22
2018-03-28,17.64,17.91,16.81,17.19,315.02,TSLA,-7.67,106.57,195.59,80.42,60,116.6,116.6,0.0,20,-2,15,True,False,0,0,False,10,2,False,-7.67,-13.52,-86.36,-18.75,-0.22
2018-03-29,17.1,18.06,16.55,17.74,227.56,TSLA,3.24,112.79,101.76,83.03,61,112.83,116.6,-3.24,20,-2,15,False,False,0,0,False,11,2,False,3.24,-13.52,-86.36,-18.75,-0.22
2018-04-02,17.08,17.36,16.31,16.83,241.71,TSLA,-5.13,121.05,99.67,78.77,62,118.61,118.61,0.0,20,-2,15,True,False,0,0,False,12,2,False,-5.13,-13.52,-86.36,-18.75,-0.22
2018-04-03,17.99,18.22,16.97,17.84,282.67,TSLA,5.96,132.32,113.63,83.46,63,111.54,118.61,-5.96,20,-2,15,False,False,0,0,False,13,2,False,5.96,-13.52,-86.36,-18.75,-0.22
