,ticker,first_close,last_close,first_date,last_date,total_days,volume_threshold(%),pct_threshold(%),holding_days,sell-waiting_days,strategy_max_drawdown(%),strategy_cagr%,strategy_calmar,final_account_value,total_trades,winners,win_rate(%),top_5_gainers(%),averge_max_return(%),averge_max_drawdown(%),top_5_losers(%),average_gain(%),average_loss(%),sell_hold_return(%),sell_hold_cagr%,sell_hold_max_drawdown(%),sell_hold_calmar
0,TSLA,108.1,417.41,2023-01-03,2024-12-30,727,20,-0.1,5,0,-50.01,-26.74,-0.53,53.8,19,13,68.42,"[-1.33, -3.18, -3.4, -3.41, -5.33]",2.6,-5.1,"[1.24, 1.72, 2.73, 5.51, 6.52]",-6.38,4.2,-74.1,-63.97,-88.12,-0.73
1,TSLA,108.1,417.41,2023-01-03,2024-12-30,727,20,-0.1,5,1,-43.71,-19.82,-0.45,64.4,19,10,52.63,"[-2.01, -2.47, -2.54, -3.26, -3.57]",2.47,-4.45,"[0.14, 0.47, 1.03, 1.54, 1.77]",-5.48,1.84,-74.1,-63.97,-88.12,-0.73
2,TSLA,108.1,417.41,2023-01-03,2024-12-30,727,20,-0.1,5,5,-53.84,-27.93,-0.52,52.08,15,10,66.67,"[-0.37, -0.63, -1.41, -2.69, -3.46]",3.8,-7.61,"[2.23, 2.25, 8.09, 11.18, 11.63]",-9.6,7.08,-74.1,-63.97,-88.12,-0.73
3,TSLA,108.1,417.41,2023-01-03,2024-12-30,727,20,-0.1,5,10,-26.21,-13.1,-0.5,75.6,13,7,53.85,"[-0.49, -5.74, -5.82, -6.75, -9.32]",2.91,-4.66,"[0.67, 1.54, 3.9, 5.39, 7.51]",-7.49,4.49,-74.1,-63.97,-88.12,-0.73
4,TSLA,108.1,417.41,2023-01-03,2024-12-30,727,20,-1,5,0,-50.01,-26.74,-0.53,53.8,19,13,68.42,"[-1.33, -3.18, -3.4, -3.41, -5.33]",2.6,-5.1,"[1.24, 1.72, 2.73, 5.51, 6.52]",-6.38,4.2,-74.1,-63.97,-88.12,-0.73
5,TSLA,108.1,417.41,2023-01-03,2024-12-30,727,20,-1,5,1,-43.71,-19.82,-0.45,64.4,19,10,52.63,"[-2.01, -2.47, -2.54, -3.26, -3.57]",2.47,-4.45,"[0.14, 0.47, 1.03, 1.54, 1.77]",-5.48,1.84,-74.1,-63.97,-88.12,-0.73
6,TSLA,108.1,417.41,2023-01-03,2024-12-30,727,20,-1,5,5,-53.84,-27.93,-0.52,52.08,15,10,66.67,"[-0.37, -0.63, -1.41, -2.69, -3.46]",3.8,-7.61,"[2.23, 2.25, 8.09, 11.18, 11.63]",-9.6,7.08,-74.1,-63.97,-88.12,-0.73
7,TSLA,108.1,417.41,2023-01-03,2024-12-30,727,20,-1,5,10,-26.21,-13.1,-0.5,75.6,13,7,53.85,"[-0.49, -5.74, -5.82, -6.75, -9.32]",2.91,-4.66,"[0.67, 1.54, 3.9, 5.39, 7.51]",-7.49,4.49,-74.1,-63.97,-88.12,-0.73
8,TSLA,108.1,417.41,2023-01-03,2024-12-30,727,20,-2,5,0,-39.18,-18.7,-0.48,66.21,17,11,64.71,"[-1.33, -3.18, -3.4, -3.41, -5.33]",2.82,-4.5,"[1.24, 1.72, 2.73, 5.51, 6.52]",-5.68,4.2,-74.1,-63.97,-88.12,-0.73
9,TSLA,108.1,417.41,2023-01-03,2024-12-30,727,20,-2,5,1,-33.59,-12.88,-0.38,75.99,17,8,47.06,"[-2.01, -2.47, -2.54, -3.57, -4.44]",2.73,-3.99,"[0.14, 0.47, 1.03, 1.54, 1.77]",-4.76,1.84,-74.1,-63.97,-88.12,-0.73
10,TSLA,108.1,417.41,2023-01-03,2024-12-30,727,20,-2,5,5,-52.19,-26.65,-0.51,53.94,14,9,64.29,"[-0.37, -0.63, -1.41, -3.46, -6.2]",4.07,-7.57,"[2.23, 2.25, 8.09, 11.18, 11.63]",-10.37,7.08,-74.1,-63.97,-88.12,-0.73
